U	I	TH	TC	QH	QC
(V)	(A)	(°„C)	(°„C)	(W)	(W)
12.00	3.33	33.28	16.12	43.674	3.736
10.00	2.88	31.56	16.18	34.113	5.330
8.00	2.38	29.29	16.27	21.764	2.755
6.00	1.82	27.90	16.56	15.392	4.477
4.00	1.22	26.43	16.94	8.842	3.958
2.00	0.59	25.38	17.47	2.801	1.618
12.00	3.25	40.53	17.60	42.714	3.746
10.00	2.79	38.70	17.67	32.327	4.433
8.00	2.29	36.78	17.83	21.589	3.276
6.00	1.74	35.28	18.14	12.764	2.335
4.00	1.14	33.85	18.59	6.381	1.810
12.00	3.16	46.60	18.65	41.322	3.343
10.00	2.70	45.13	18.62	30.851	3.809
8.00	2.21	43.58	18.70	21.245	3.571
6.00	1.66	42.13	19.01	11.636	1.657
12.00	3.07	54.42	19.28	39.136	2.246
10.00	2.62	52.54	19.23	28.327	2.146
8.00	2.12	50.98	19.37	19.236	2.295


